   7    -    L    J    .    F    F    7    J    7    -    F    -    F    -    -    F    7    -    .    L    L    |    7    .    L    F    J    -    -    7    F    .    J    .    L    -    -    F    F    -    @    @    7    -    F    7    |    7    F    -    F    -    7    7    7    .    J    J    7    |    .    J    -    -    @    @    J    F    -    7    -    7    -    F    -    F    -    J    .    F    -    F    F    -    -    7    .    .    |    .    L    F    J    7    7    .    7    7    |    F    7    F    J    -    7    7    |    F    7    7    F    F    L    |    7    .    |    -    7    .    |    .    7    J    F    F    -    -    7    |    .    |    7    -    F    -    -    7    7 
   |    I    I    I    |    I    I    I    I    I    I    I    I    I    I    I    I    I    I    F    I    I    I    I    7    I    I    I    I    I    I    I    F    I    L    I    I    I    I    I    I    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    -    I    I    @    @    7    I    I    I    @    @    I    I    I    I    I    I    I    I    I    I    I    |    .    |    I    I    I    I    I    I    |    F    |    .    L    I    I    I    I    F    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    -    I    I    I    F    I    L    I    I    I    I    I    I    I    I    L    I    I    I    I    I    I    I    7 
   |    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    @    @    I    @    @    @    @    @    I    I    @    @    @    I    I    I    I    I    I    I    I    I    I    I    -    I    I    I    I    I    I    I    I    I    I    |    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    | 
   |    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    F 
   7    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    J 
   L    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    I    I    I    I    I    I    I    @    @    @    @    @    @    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    @    @    @    @    I    @    @    @    @    @    I    I    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    F 
   |    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    I    I    I    I    I    I    @    @    @    I    @    @    @    @    @    I    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    J 
   L    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    I    I    I    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    @    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    | 
   L    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    @    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    J 
   F    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    I    I    I    I    I    I    I    I    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    7 
   |    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    @    I    I    I    I    I    @    @    I    I    @    @    @    @    I    I    I    I    I    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    @    @    @    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    I    L 
